Ynb,Mnb,BP.pharma,Specials.MT,Specials.pharma,DC.MT,DC.pharma,HA.MT,HA.pharma
2015,1,1,1,1,1,1,1,1.2
2015,2,1,1,1,1,1,1,1.2
2015,3,1,1,1,1,1,1,1.2
2015,4,1,1,1,1,1,1,1.2
2015,5,1,1,1,1,1,1,1.2
2015,6,1,1,1,1,1,1,1.2
2015,7,1,1,1,1,1,1,1.2
2015,8,1,1,1,1,1,1,1.2
2015,9,1,1,1,1,1,1,1.2
2015,10,1,1,1,1,1,1,1.2
2015,11,1,1,1,1,1,1,1.2
2015,12,1,1,1,1,1,1,1.2
2016,1,1,1,1,1,1,1,1.2
2016,2,1,1,1,1,1,1,1.2
2016,3,1,1,1,1,1,1,1.2
2016,4,1,1,1,1,1,1,1.2
2016,5,1,1,1,1,1,1,1.2
2016,6,1,1,1,1,1,1,1.2
2016,7,1,1,1,1,1,1,1.2
2016,8,1,1,1,1,1,1,1.2
2016,9,1,1,1,1,1,1,1.2
2016,10,1,1,1,1,1,1,1.2
2016,11,1,1,1,1,1,1,1.2
2016,12,1,1,1,1,1,1,1.2
2017,1,1,1,1,1,1,1,1.2
2017,2,1,1,1,1,1,1,1.2
2017,3,1,1,1,1,1,1,1.2
2017,4,1,1,1,1,1,1,1.2
2017,5,1,1,1,1,1,1,1.2
2017,6,1,1,1,1,1,1,1.2
2017,7,1,1,1,1,1.3,1,1.2
2017,8,1,1,1,1,1.4,1,1.2
2017,9,1,1,1,1,1.5,1,1.2
2017,10,1,1,1,1,1.4,1,1.5
2017,11,1,1,1,1,1.3,1,1.5
2017,12,1,1,1,1,1.3,1,1.5
2018,1,1,1,1,1,1.3,1,2.27267940191728
2018,2,1,1,1,1,1.1,1,2.18068335263254
2018,3,1,1,1,1,1.1,1,2.09241122194224
2018,4,1,1,1,1,1.1,1,2.00771226891994
2018,5,1,1,1,1,1.1,1,1.92644185449839
2018,6,1,1,1,1,1.1,1,1.84846119447168
2018,7,0.72575934,1.59918451515549,0.5,1,0.99,1,1.77363712249563
2018,8,0.72000468,1.60579303093066,0.493,1,0.98,1,1.70184186268173
2018,9,0.71425002,1.61238742750924,0.486,1,0.97,1,1.63295281139626
2018,10,0.70849536,1.61896775009175,0.479,1,0.96,1,1.56685232789202
2018,11,0.7027407,1.625534043686,0.472,1,0.95,1,1.50342753341504
2018,12,0.69698604,1.63208635310809,0.465,1,0.94,1,1.44257011844336
2019,1,0.69123138,1.63862472298345,0.458,1,0.93,1,1.38417615772851
2019,2,0.68547672,1.64514919774781,0.451,1,0.92,1,1.32814593282405
2019,3,0.67972206,1.65165982164825,0.444,1,0.91,1,1.27438376179793
2019,4,0.6739674,1.65815663874418,0.437,1,0.9,1,1.22279783583797
2019,5,0.66821274,1.66463969290834,0.43,1,0.89,1,1.17330006247138
2019,6,0.66245808,1.67110902782779,0.423,1,0.88,1,1.12580591513065
2019,7,0.65670342,1.67756468700487,0.416,1,0.87,1,1.08023428880885
2019,8,0.65094876,1.68400671375822,0.409,1,0.86,1,1.03650736155792
2019,9,0.6451941,1.69043515122369,0.402,1,0.85,1,0.994550461593309
2019,10,0.63943944,1.69685004235536,0.395,1,0.84,1,0.954291939778173
2019,11,0.63368478,1.70325142992645,0.388,1,0.83,1,0.915663047269269
2019,12,0.62793012,1.7096393565303,0.381,1,0.82,1,0.878597818115638
2020,1,0.62217546,1.71601386458132,0.374,1,0.81,1,0.843032956609592
2020,2,0.6164208,1.72237499631589,0.367,1,0.8,1,0.808907729197627
2020,3,0.61066614,1.72872279379333,0.36,1,0.79,1,0.776163860766694
2020,4,0.60491148,1.73505729889681,0.5,1,0.78,1,0.744745435128705
2020,5,0.59915682,1.74137855333428,0.5,1,0.77,1,0.714598799533343
2020,6,0.59340216,1.74768659863938,0.5,1,0.76,1,0.685672473046102
2020,7,0.5876475,1.75398147617235,0.5,1,0.75,1,0.657917058635111
2020,8,0.58189284,1.76026322712094,0.5,1,0.74,1,0.631285158816594
2020,9,0.57613818,1.76653189250129,0.5,1,0.73,1,0.605731294714943
2020,10,0.57038352,1.77278751315885,0.5,1,0.72,1,0.581211828399151
2020,11,0.56462886,1.77903012976924,0.5,1,0.71,1,0.557684888363009
2020,12,0.5588742,1.78525978283915,0.5,1,0.7,1,0.535110298021795
